year,salinity
1999,28.818805785123967
2000,29.32810041322314
2001,30.129727685950414
2002,29.29036818181818
2003,29.26832272727273
2004,29.603604132231403
2005,29.523112396694216
2006,29.413189256198347
2007,29.289560833333333
2008,29.655152097902096
2009,29.800031690140845
2010,29.270547962382444
2011,28.5872303125
2012,28.70331672597865
2013,29.255011307420496
2014,29.100592768595043
2015,29.23990247933884
2016,28.63420061983471
2017,28.40555061983471
2018,29.125887809917355
2019,29.645778305785125
